"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
"Battle Vambraces","750z","Kelbi Hide",1,"Iron Ore",3,"Earth Crystal",2,"Whetstone",2,16,2,-2,0,-2,-1,"Male/ Female","Blade",2,1,1,"O--","SwdShrpner",2,"Guard",2,"Hunger",-1,"Attack",2,"PsychicVis",2
"Battle Guards","750z","Kelbi Hide",1,"Iron Ore",3,"Huskberry",10,"Sm Bone Husk",3,10,4,0,2,0,0,"Male/ Female","Gunner",2,1,1,"O--","Load",2,"NormalS Up",2,"Hunger",-1,"Attack",2,"PsychicVis",2
"Velociprey Braces","1150z","Velociprey Scale",3,"Velociprey Hide",2,"Earth Crystal",1,"Disk Stone",3,20,1,1,-1,1,0,"Male/ Female","Blade",2,1,2,"O--","Paralysis",-1,"Faint",3,"SwdShrpner",1,"PsychicVis",2,"MixSucRate",2
"Velociprey Guards","1150z","Velociprey Scale",3,"Velociprey Hide",2,"Earth Crystal",1,"Disk Stone",3,10,3,3,0,3,1,"Male/ Female","Gunner",2,1,2,"O--","Paralysis",-1,"Faint",3,"PelletS Up",2,"PsychicVis",1,"Shot Mix",2
"Vespoid Vambraces","1150z","Vespoid Wing",3,"Iron Ore",3,"Earth Crystal",2,,,20,-6,2,2,-5,-4,"Male/ Female","Blade",3,1,1,"O--","Paralysis",2,"Poison",-1,"Backpackng",4,"Everlastng",2,,
"Vespoid Guards","1150z","Vespoid Shell",4,"Iron Ore",3,"Earth Crystal",2,,,10,-5,5,2,-4,-3,"Male/ Female","Gunner",3,1,1,"O--","Paralysis",2,"Poison",-1,"Backpackng",4,"Everlastng",2,,
"Hi-Metal Vambraces","1150z","Machalite Ore",3,"Iron Ore",4,"Carpenterbug",2,,,20,-2,3,0,-2,-1,"Male/ Female","Blade",3,1,1,"O--","Health",3,"Whim",2,"Stamina",-2,"Gunnery",2,,
"Hi-Metal Guards","1150z","Machalite Ore",3,"Iron Ore",4,"Carpenterbug",2,,,10,0,5,0,0,0,"Male/ Female","Gunner",3,1,1,"O--","Health",3,"CragS Add",1,"Stamina",-2,"Gunnery",3,,
"Hornet Vambraces","1350z","Hornetaur Wing",3,"Hornetaur Shell",3,"Iron Ore",5,"Monster Fluid",1,22,-6,-5,2,-1,-5,"Male/ Female","Blade",3,1,2,"O--","Protection",-2,"HearProtct",2,"Dragon Res",2,"Gathering",3,,
"Hornet Guards","1350z","Hornetaur Wing",3,"Hornetaur Shell",3,"Iron Ore",5,"Monster Fluid",1,11,-5,-3,3,2,-4,"Male/ Female","Gunner",3,1,2,"O--","Protection",-2,"HearProtct",3,"Dragon Res",2,"Gathering",2,,
"Genprey Vambraces","1350z","Genprey Fang",5,"Genprey Scale",4,"Iron Ore",2,"Kut-Ku Scale",1,22,2,3,-1,-2,-2,"Male/ Female","Blade",3,1,2,"O--","Paralysis",3,"Poison",-1,"Health",3,"SwdShrpner",2,,
"Genprey Guards","1350z","Genprey Fang",5,"Genprey Scale",4,"Iron Ore",2,"Kut-Ku Scale",1,11,4,5,0,0,0,"Male/ Female","Gunner",3,1,2,"O--","Paralysis",3,"Rec Speed",-1,"PelletSAdd",4,"Spc Attack",1,,
"Steel Vambraces","1650z","Machalite Ore",10,"Iron Ore",10,"Disk Stone",6,,,24,2,-2,0,2,0,"Male/ Female","Blade",3,1,1,"O--","Guard",2,"Map",4,"PsychicVis",1,"Stamina",-2,,
"Ioprey Vambraces","1650z","Iodrome Hide",3,"Ioprey Fang",5,"Ioprey Scale",4,"Iron Ore",2,24,3,-2,-1,2,1,"Male/ Female","Blade",3,1,3,"O--","Faint",-1,"Poison",3,"Rec Speed",-2,"Spc Attack",2,"Fatigue",1
"Ioprey Guards","1650z","Iodrome Hide",3,"Ioprey Fang",5,"Ioprey Scale",4,"Iron Ore",2,12,4,0,0,3,2,"Male/ Female","Gunner",3,1,3,"O--","Faint",-1,"Poison",3,"PelletS Up",4,"Fatigue",1,,
"Kut-Ku Vambraces","1650z","Kut-Ku Scale",3,"Kut-Ku Shell",2,"Kut-Ku Webbing",2,,,24,2,0,-1,-2,-2,"Male/ Female","Blade",3,1,3,"O--","Health",3,"Attack",2,"Defence",-1,"Fire Res",2,"Water Res",-1
"Kut-Ku Guards","1650z","Kut-Ku Scale",3,"Kut-Ku Shell",2,"Kut-Ku Webbing",2,,,12,5,3,0,1,-1,"Male/ Female","Gunner",3,1,3,"O--","Health",3,"Attack",2,"Defence",-1,"Fire Res",2,"Water Res",-1
"Cephalos Vambraces","2350z","Cephalos Fin",1,"Cephalos Scale",3,"Disk Stone",6,"Monster Fluid",1,28,-3,-4,0,2,2,"Male/ Female","Blade",3,1,3,"O--","Hunger",3,"Heat Res",4,"Cold Res",-2,,,,
"Cephalos Guards","2350z","Cephalos Fin",1,"Cephalos Scale",3,"Disk Stone",6,"Monster Fluid",1,16,-1,-2,1,5,3,"Male/ Female","Gunner",3,1,3,"O--","Hunger",3,"Heat Res",4,"Cold Res",-2,,,,
"Conga Vambraces","2350z","Congalala Pelt",2,"Sharp Claw",3,"Brute Bone",4,"Killer Beetle",1,28,-3,2,0,2,-1,"Male/ Female","Blade",3,1,3,"O--","Antiseptic",2,"BombStrUp",2,"Hunger",-2,"Gluttony",3,,
"Conga Guards","2350z","Congalala Pelt",2,"Sharp Claw",3,"Brute Bone",4,"Killer Beetle",1,16,-1,4,1,4,0,"Male/ Female","Gunner",3,1,3,"O--","Antiseptic",2,"NormalS Up",2,"Hunger",-2,"Gluttony",3,,
"Gypceros Vambraces","2850z","Dragonite Ore",2,"Antiseptic Stone",2,"Machalite Ore",2,"Rubbery Hide",3,30,-4,4,0,1,1,"Male/ Female","Blade",3,1,3,"OO-","Poison",3,"Hunger",-1,"ThunderRes",2,"Stamina",1,,
"Gypceros Guards","2850z","Dragonite Ore",2,"Antiseptic Stone",2,"Machalite Ore",2,"Rubbery Hide",3,16,-1,6,0,4,3,"Male/ Female","Gunner",3,1,3,"O--","Poison",3,"Hunger",-2,"ThunderRes",2,"Stamina",2,,
"Khezu Vambraces","3350z","Pale Bone",1,"Flabby Hide",2,"Iron Ore",6,"Thunderbug",1,32,-3,4,0,3,1,"Male/ Female","Blade",3,1,3,"O--","Faint",-1,"Rec Speed",4,"Wide Area",2,"Horn",2,,
"Khezu Guards","3350z","Pale Bone",1,"Flabby Hide",2,"Iron Ore",6,"Thunderbug",1,16,-1,6,0,5,2,"Male/ Female","Gunner",3,1,3,"O--","Faint",-1,"Rec Speed",4,"Wide Area",2,"Shot Mix",2,,
"Hermitaur Vambraces","3350z","Hermitaur Claw",1,"Hermitaur Shell",2,"Machalite Ore",2,"Sharp Claw",4,32,-3,-4,1,3,0,"Male/ Female","Blade",3,1,3,"OO-","Guard",1,"Throw",2,"Defence",2,"ThunderRes",-2,,
"Hermitaur Guards","3350z","Hermitaur Claw",1,"Hermitaur Shell",2,"Machalite Ore",2,"Sharp Claw",4,16,-1,-2,2,5,1,"Male/ Female","Gunner",3,1,3,"O--","Guard Up",2,"Throw",2,"Defence",2,"ThunderRes",-2,,
"Plesioth Vambraces","4150z","Plesioth Fin",1,"Monster Fluid",1,"Piscine Fang",2,"Plesioth Scale",3,34,-4,-4,0,4,2,"Male/ Female","Blade",3,1,3,"O--","Paralysis",-2,"Heat Res",2,"Cold Res",2,"Stamina",3,,
"Plesioth Guards","4150z","Plesioth Fin",1,"Monster Fluid",1,"Piscine Fang",2,"Plesioth Scale",3,17,-2,-2,1,6,3,"Male/ Female","Gunner",3,1,3,"O--","Paralysis",-2,"Heat Res",2,"Cold Res",2,"Stamina",3,,
"Lobster Vambraces","4150z","Sm Lobstershell",1,"Plesioth Fin",1,"Earth Crystal",4,"Iron Ore",3,34,-2,-6,-2,6,2,"Male/ Female","Blade",3,1,3,"O--","Guard",-2,"Water Res",2,"Fishing",2,"Evade",3,,
"Lobster Guards","4150z","Sm Lobstershell",1,"Plesioth Fin",1,"Earth Crystal",4,"Iron Ore",3,17,0,-5,0,6,3,"Male/ Female","Gunner",3,1,3,"OO-","Water Res",1,"Fishing",1,"Evade",3,"Precision",-2,,
"Kut-Ku Vambraces D","1650z","Blue Kut-Ku Scl",3,"Blue Kut-Ku Shl",2,"Bullfango Pelt",2,"Sm Monster Bone",3,22,2,0,-1,-2,-2,"Male/ Female","Blade",3,1,3,"O--","Health",-1,"Rec Speed",-2,"Expert",2,"ElementAtk",2,"Attack",2
"Kut-Ku Guards D","1650z","Blue Kut-Ku Scl",3,"Blue Kut-Ku Shl",2,"Bullfango Pelt",2,"Sm Monster Bone",3,10,5,3,0,1,-1,"Male/ Female","Gunner",3,1,3,"O--","Health",-1,"Rec Speed",-2,"Expert",2,"ElementAtk",2,"Attack",2
"Gypceros Vambraces D","2850z","Pur Rubbery Hide",3,"Antiseptic Stone",2,"Machalite Ore",2,"Hercudrome",2,28,-4,4,0,1,1,"Male/ Female","Blade",3,2,3,"OO-","Faint",3,"Wide Area",2,"WindPress",1,"Fate",-1,,
"Gypceros Guards D","2850z","Pur Rubbery Hide",3,"Antiseptic Stone",2,"Machalite Ore",2,"Hercudrome",2,14,-1,6,0,4,3,"Male/ Female","Gunner",3,2,3,"OO-","Faint",3,"Wide Area",2,"WindPress",1,"Fate",-1,,
"Khezu Vambraces D","3350z","Pale Bone",1,"Alluring Hide",2,"Iron Ore",6,"Thunderbug",1,30,3,4,0,-3,0,"Male/ Female","Blade",3,2,4,"OO-","SwdShrpner",-2,"Wide Area",3,"Recovery",2,,,,
"Khezu Guards D","3350z","Pale Bone",1,"Alluring Hide",2,"Iron Ore",6,"Thunderbug",1,14,5,6,0,-1,1,"Male/ Female","Gunner",3,2,4,"O--","Wide Area",5,"Recovery",2,"MixSucRate",-2,,,,
"Plesioth Vambraces D","4150z","Grn Plesioth Scl",2,"Monster Fluid",1,"Cephalos Scale",3,"Grn Plesioth Fin",1,32,-4,-4,0,4,2,"Male/ Female","Blade",3,2,3,"OO-","Poison",-2,"Hunger",2,"Fishing",1,"Everlastng",2,,
"Plesioth Guards D","4150z","Grn Plesioth Scl",2,"Monster Fluid",1,"Cephalos Scale",3,"Grn Plesioth Fin",1,15,-2,-2,1,6,3,"Male/ Female","Gunner",3,2,3,"OO-","Poison",-2,"Hunger",2,"Fishing",1,"Everlastng",2,,
"Basarios Vambraces","3350z","Basarios Shell",3,"Machalite Ore",5,"Poison Sac",3,"Whetstone",20,32,0,2,-2,2,1,"Male/ Female","Blade",4,2,4,"O--","Sleep",3,"Faint",-1,"Defence",2,"Whim",1,"Terrain",2
"Basarios Guards","3350z","Basarios Shell",3,"Machalite Ore",5,"Poison Sac",3,"Whetstone",20,16,2,4,0,4,2,"Male/ Female","Gunner",4,2,4,"O--","Sleep",3,"Faint",-1,"Defence",2,"Whim",1,"Terrain",2
"Monoblos Vambraces","4900z","Monoblos Spine",2,"Blood Red Horn",1,"Monoblos Shell",3,"Monster Fluid",4,36,2,-2,-1,-1,-1,"Male/ Female","Blade",4,10,"4!","OO-","Health",3,"Attack",1,"Protection",-1,"Potential",2,,
"Monoblos Guards","4900z","Monoblos Spine",2,"Blood Red Horn",1,"Monoblos Shell",3,"Monster Fluid",4,18,4,0,0,2,0,"Male/ Female","Gunner",4,10,"4!","O--","Health",3,"Attack",2,"Protection",-2,"Potential",2,,
"Garuga Vambraces","4900z","Garuga Scale",5,"Garuga Shell",4,"Garuga Wing",2,"Monster Bone+",1,36,2,2,0,0,0,"Male/ Female","Blade",4,10,"4!","O--","Sharpness",3,"Expert",2,"HearProtct",2,"Gathering",-2,,
"Garuga Guards","4900z","Garuga Scale",5,"Garuga Shell",4,"Garuga Tail",1,"Monster Bone+",1,18,3,3,0,2,1,"Male/ Female","Gunner",4,10,"4!","O--","Sharpness",3,"PierceSAdd",3,"HearProtct",2,"Gathering",-2,,
"Blango Vambraces","4900z","Blangonga Pelt",4,"Giaprey Hide",3,"Sharp Claw",2,"Kut-Ku Webbing",1,36,-4,0,1,2,3,"Male/ Female","Blade",4,2,4,"O--","Snow Res",2,"Cold Res",3,"Terrain",-2,"Quake Res",2,,
"Blango Guards","4900z","Blangonga Pelt",4,"Giaprey Hide",3,"Sharp Claw",2,"Kut-Ku Webbing",1,18,-3,1,2,4,5,"Male/ Female","Gunner",4,2,4,"O--","Snow Res",2,"Cold Res",3,"Terrain",-2,"Quake Res",2,,
"Ceanataur Vambraces","5200z","Ceanataur Pincer",1,"Ceanataur Shell",2,"Earth Crystal",4,"Carpenterbug",3,37,1,-1,0,2,-1,"Male/ Female","Blade",4,2,4,"O--","Sharpness",3,"Artisan",1,"SwdShrpner",2,"Defence",-3,,
"Ceanataur Guards","5200z","Ceanataur Pincer",1,"Ceanataur Shell",2,"Earth Crystal",4,"Carpenterbug",3,18,2,0,2,4,0,"Male/ Female","Gunner",4,2,4,"OO-","PierceS Up",2,"PierceSAdd",1,"Defence",-2,"Precision",2,,
"Rathian Vambraces","5350z","Monster Bone+",1,"Rathian Shell",2,"Rathian Scale",2,"Machalite Ore",2,38,2,-2,-4,0,0,"Male/ Female","Blade",4,1,6,"O--","Faint",-1,"Poison",2,"Health",3,"PsychicVis",3,,
"Rathian Guards","5350z","Monster Bone+",1,"Rathian Shell",2,"Rathian Scale",2,"Machalite Ore",2,18,4,0,-2,2,2,"Male/ Female","Gunner",4,1,6,"OO-","Faint",-1,"Poison",2,"Health",3,"PsychicVis",1,,
"Tigrex Vambraces","5800z","Tigrex Scale",2,"Tigrex Fang",2,"Tigrex Claw",3,"Machalite Ore",5,40,3,-2,-1,2,3,"Male/ Female","Blade",4,3,5,"OO-","Protection",-1,"HearProtct",1,"PsychicVis",3,"Cooking",2,,
"Tigrex Guards","5800z","Tigrex Scale",2,"Tigrex Fang",2,"Tigrex Claw",3,"Machalite Ore",5,20,4,-1,0,3,4,"Male/ Female","Gunner",4,3,5,"O--","Protection",-2,"HearProtct",2,"PsychicVis",3,"Cooking",2,,
"Rathalos Vambraces","5800z","Rathalos Webbing",2,"Rathalos Scale",3,"Machalite Ore",1,"Fire Stone",1,40,2,2,-4,-1,-3,"Male/ Female","Blade",4,1,6,"O--","Paralysis",-2,"Rec Speed",1,"Attack",4,"PsychicVis",2,,
"Rathalos Guards","5800z","Rathalos Tail",2,"Rathalos Scale",3,"Machalite Ore",1,"Fire Stone",1,20,4,5,-2,0,-1,"Male/ Female","Gunner",4,1,6,"O--","Paralysis",-2,"Rec Speed",1,"Attack",4,"PsychicVis",2,,
"Diablo Vambraces","5800z","Diablos Shell",3,"Blos Fang",2,"Monster Bone+",1,,,40,3,1,0,-1,-2,"Male/ Female","Blade",4,3,5,"O--","Health",-2,"Expert",3,"WindPress",2,"Fate",-2,,
"Diablo Guards","5800z","Diablos Shell",3,"Blos Fang",2,"Monster Bone+",1,,,20,5,4,0,2,-1,"Male/ Female","Gunner",4,3,5,"O--","Health",-2,"Expert",3,"WindPress",2,"Fate",-2,,
"Gravios Vambraces","5800z","Gravios Shell",6,"Flame Sac",4,"Lg Monster Bone",5,"Dragonite Ore",3,40,2,2,-2,-2,0,"Male/ Female","Blade",4,3,5,"O--","Sleep",3,"Guard",2,"Defence",2,"Stamina",-2,,
"Gravios Guards","5800z","Gravios Shell",6,"Flame Sac",4,"Lg Monster Bone",5,"Dragonite Ore",3,20,4,3,0,1,1,"Male/ Female","Gunner",4,3,5,"O--","Sleep",3,"ClustS Add",4,"Stamina",-2,,,,
"Diablo Vambraces D","5800z","Black Blos Shell",3,"Blos Fang",2,"Monster Bone+",1,,,38,3,1,0,-1,-2,"Male/ Female","Blade",4,3,5,"OO-","Sharpness",2,"Defence",-1,"WindPress",3,"Fate",-1,,
"Diablo Guards D","5800z","Black Blos Shell",3,"Blos Fang",2,"Monster Bone+",1,,,18,5,4,0,2,-1,"Male/ Female","Gunner",4,3,5,"OO-","Load",2,"Hunger",-1,"WindPress",3,"Fate",-1,,
"Gravios Vambraces D","5800z","Blk Gravios Shl",6,"Sleep Sac",4,"Lg Monster Bone",5,"Dragonite Ore",3,38,2,2,0,-2,1,"Male/ Female","Blade",4,3,5,"OO-","Guard Up",2,"Hunger",-2,"Defence",3,,,,
"Gravios Guards D","5800z","Blk Gravios Shl",6,"Sleep Sac",4,"Lg Monster Bone",5,"Dragonite Ore",3,18,4,3,0,1,2,"Male/ Female","Gunner",4,3,5,"OO-","Guard Up",2,"Hunger",-2,"Defence",3,,,,
"Mosswine Gloves","100z","Mosswine Hide",2,"Bullfango Pelt",1,"Carpenterbug",2,,,3,0,0,0,0,0,"Male/ Female","Blade/ Gunner",5,1,2,"O--","Health",2,"Hunger",-3,"Gluttony",2,"Cooking",2,,
"Giaprey Gloves","700z","Giadrome Claw",2,"Sharp Claw",3,"Giaprey Scale",3,"Kut-Ku Coin",1,16,0,2,-2,2,3,"Male/ Female","Blade/ Gunner",5,1,3,"OO-","Fire Res",-2,"Ice Res",2,"Fate",3,,,,
"Velociprey Gloves","900z","Velocidrome Claw",2,"Sharp Claw",3,"Velociprey Scale",3,"Congalala Coin",1,18,1,1,1,1,1,"Male/ Female","Blade/ Gunner",5,1,3,"OO-","Water Res",2,"ThunderRes",-2,"Fate",3,,,,
"Genprey Gloves","1150z","Genprey Fang",4,"Sharp Claw",3,"Genprey Scale",3,"Khezu Coin",1,20,1,2,1,1,1,"Male/ Female","Blade/ Gunner",5,1,3,"OO-","Ice Res",-2,"ThunderRes",2,"Fate",3,,,,
"Black Belt Vambraces","3300z","Kut-Ku Coin",15,"Blackbelt Ticket",10,"Killer Beetle",2,"Plesioth Coin",12,20,2,2,2,2,2,"Male/ Female","Blade/ Gunner",5,1,3,"---","Torso Inc",,,,,,,,,
"Shinobi Kote (Sun)","9800z","Gaoren Spine",1,"Blackbelt Ticket",3,"Pokke Ticket",1,"Rathian Scale",5,20,2,4,2,-6,-3,"Male/ Female","Blade/ Gunner",5,3,6,"OO-","Throw",2,"ElementAtk",2,"Cold Res",-2,"Evade",1,,
"Shinobi Kote (Moon)","9800z","Gaoren Spine",1,"Blackbelt Ticket",3,"Pokke Ticket",1,"Rathian Scale",5,20,2,4,2,-6,-3,"Male/ Female","Blade/ Gunner",5,3,6,"O--","Sneak",2,"Hunger",4,"Heat Res",-2,"PsychicVis",1,,
"Guild Knight Gloves","9800z","Commendation",1,"Springnight Carp",4,"FlynMealPassReg",1,"Khezu Coin",3,20,0,0,0,0,0,"Male","Blade/ Gunner",5,3,4,"O--","Whim",3,"Fate",2,"PsychicVis",2,"BBQ",-2,,
"Guild Knight Sleeves","9800z","Commendation",1,"Springnight Carp",4,"FlynMealPassReg",1,"Daimyo Coin",3,20,0,0,0,0,0,"Male","Blade/ Gunner",5,3,4,"O--","PelletS Up",2,"Fate",-2,"Precision",2,"Carving",3,,
"Guardian Vambraces","9800z","Lightcrystal",2,"Springnight Carp",4,"Blackbelt Ticket",2,"Cephalos Coin",3,20,0,0,0,0,0,"Male","Blade/ Gunner",5,1,3,"O--","Protection",2,"Gathering",-2,"Fate",2,"Gunnery",3,,
"Guardian Guards","9800z","Lightcrystal",2,"Springnight Carp",4,"Blackbelt Ticket",2,"Plesioth Coin",3,20,0,0,0,0,0,"Male","Blade/ Gunner",5,1,3,"OO-","Protection",2,"Wide Area",3,"Gathering",-1,"Fate",1,,
"Maiden's Sleeves","9800z","Commendation",1,"Springnight Carp",4,"FlynMealPassReg",1,"Khezu Coin",3,20,0,0,0,0,0,"Female","Blade/ Gunner",5,3,4,"O--","Whim",3,"Fate",2,"PsychicVis",2,"BBQ",-2,,
"Personal Sleeves","9800z","Commendation",1,"Springnight Carp",4,"FlynMealPassReg",1,"Daimyo Coin",3,20,0,0,0,0,0,"Female","Blade/ Gunner",5,3,4,"O--","PelletS Up",2,"Fate",-2,"Precision",2,"Carving",3,,
"Helper Sleeves","9800z","Lightcrystal",2,"Springnight Carp",4,"Blackbelt Ticket",2,"Cephalos Coin",3,20,0,0,0,0,0,"Female","Blade/ Gunner",5,1,3,"O--","Protection",2,"Gathering",-2,"Fate",2,"Gunnery",3,,
"Healer Sleeves","9800z","Lightcrystal",2,"Springnight Carp",4,"Blackbelt Ticket",2,"Plesioth Coin",3,20,0,0,0,0,0,"Female","Blade/ Gunner",5,1,3,"OO-","Protection",2,"Wide Area",3,"Gathering",-1,"Fate",1,,
"Ioprey Gloves","1350z","Ioprey Fang",4,"Sharp Claw",3,"Ioprey Scale",3,"Daimyo Coin",1,22,2,1,1,1,1,"Male/ Female","Blade/ Gunner",5,1,3,"OO-","Fire Res",2,"Water Res",-2,"Fate",3,,,,
"Remobra Hands","1650z","Striped Skin",5,"FireWyvern Fluid",2,"Hercudrome",1,"Dragonite Ore",2,24,0,-1,-1,-1,-1,"Male/ Female","Blade/ Gunner",5,1,3,"---","Poison",2,"Artisan",2,"PierceS Up",2,"All Resist",-2,"Stamina",3
"Melahoa Branch","1150z","Dosbiscus",2,"Carpenterbug",3,"Sap Plant",4,"Nutrients",3,20,0,1,0,1,0,"Male/ Female","Blade",5,1,1,"O--","Hunger",-1,"Gathering",3,"HiSpdGathr",2,"Recovery",2,"Stamina",1
"Melahoa Petal","1150z","Dosbiscus",2,"Carpenterbug",3,"Sap Plant",4,"Nutrients",3,10,0,1,0,2,0,"Male/ Female","Gunner",5,1,1,"O--","Hunger",-1,"Gathering",3,"HiSpdGathr",2,"Recovery",2,"Stamina",1
"Makluva Sleeves","2350z","Springnight Carp",2,"Cephalos Scale",3,"Bomb Arrowana",5,"Book of Combos 1",1,28,0,-2,0,2,0,"Male/ Female","Blade",5,1,2,"O--","Spc Attack",2,"Fishing",2,"MixSucRate",3,"Alchemy",2,,
"Makluva Sucker","2350z","Springnight Carp",2,"Cephalos Scale",3,"Bomb Arrowana",5,"Book of Combos 1",1,16,0,-1,0,3,0,"Male/ Female","Gunner",5,1,2,"O--","Spc Attack",2,"Fishing",2,"MixSucRate",3,"Alchemy",2,,
"Hypnoc Vambraces","3350z","Hypnoc Ticket",1,"Hypnoc Feather+",3,"Hypnoc StrngClaw",2,"Ice Crystal",5,32,-2,0,1,2,1,"Male/ Female","Blade",5,"7!",10,"O--","Sleep",2,"Sneak",-2,"Trapper",3,"Observance",2,,
"Hypnoc Guards","3350z","Hypnoc Ticket",1,"Hypnoc Feather+",3,"Hypnoc StrngClaw",2,"Ice Crystal",5,16,0,2,2,4,3,"Male/ Female","Gunner",5,"7!",10,"O--","Sneak",-2,"SleepCtAdd",2,"Trapper",3,"Observance",2,,
"Obituary Mano","3350z","Great Hornfly",1,"Hercudrome",1,"Electro Sac",1,"Paralysis Sac",2,32,3,3,2,-5,-4,"Male","Blade",5,1,3,"O--","Spc Attack",2,"Cold Res",-1,"Gathering",4,"Evade",2,,
"Obituary Brasso","3350z","Great Hornfly",1,"Hercudrome",1,"Electro Sac",1,"Paralysis Sac",2,16,4,5,2,-4,-3,"Male","Gunner",5,1,3,"O--","Spc Attack",2,"Cold Res",-2,"Gathering",3,"Evade",2,,
"Butterfly Mano","3350z","Great Hornfly",1,"Hercudrome",1,"Electro Sac",1,"Paralysis Sac",2,32,3,3,2,-5,-4,"Female","Blade",5,1,3,"O--","Spc Attack",2,"Cold Res",-1,"Gathering",4,"Evade",2,,
"Butterfly Brasso","3350z","Great Hornfly",1,"Hercudrome",1,"Electro Sac",1,"Paralysis Sac",2,16,4,5,2,-4,-3,"Female","Gunner",5,1,3,"O--","Spc Attack",2,"Cold Res",-2,"Gathering",3,"Evade",2,,
"Black Claw","11111z","Dark Stone",1,"Dark Piece",1,"Ancient Potion",1,"Fire Stone",1,36,0,2,-5,2,2,"Male/ Female","Blade",5,10,"5!","OO-",,,,,,,,,,
"Black Fist","11111z","Dark Stone",1,"Dark Piece",1,"Ancient Potion",1,"Fire Stone",1,18,2,4,-2,4,3,"Male/ Female","Gunner",5,10,"5!","OO-",,,,,,,,,,
"Death Stench Grip","5800z","Sinister Cloth",2,"Striped Skin",2,"Tigrex Fang",3,"Elder Drgn Bone",1,40,2,1,0,1,-1,"Male/ Female","Blade",5,3,5,"O--","Sneak",2,"Health",-5,"Fencing",2,,,,
"Death Stench Grasp","5800z","Sinister Cloth",2,"Striped Skin",2,"Tigrex Fang",3,"Elder Drgn Bone",1,20,3,2,1,2,0,"Male/ Female","Gunner",5,3,5,"O--","Health",-5,"CragS Add",2,"Speed Fire",2,,,,
"Volganos Vambraces","5800z","Lava Ticket",1,"Volganos Thk Scl",3,"Volganos Fin+",1,"Striped Skin",2,40,4,0,1,-3,0,"Male/ Female","Blade",5,"7!",10,"O--","Faint",-2,"Rec Speed",2,"Guard",2,"Terrain",3,,
"Volganos Guards","5800z","Lava Ticket",1,"Volganos Thk Scl",3,"Volganos Fin+",1,"Striped Skin",2,20,5,2,2,-1,2,"Male/ Female","Gunner",5,"7!",10,"O--","Faint",-2,"Rec Speed",2,"Recoil",2,"Terrain",3,,
