"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
"Diablo Coil","5800z","Diablos Spine",2,"Diablos Shell",2,"Monster Bone+",1,,,40,3,1,0,-1,-2,"Male/Female","Blade",4,3,5,"OO-","Health",-2,"Expert",2,"WindPress",2,"Fate",-1,,
"Diablo Coat","5800z","Diablos Spine",2,"Diablos Shell",2,"Monster Bone+",1,,,20,5,4,0,2,-1,"Male/Female","Gunner",4,3,5,"O--","Health",-2,"Expert",4,"WindPress",2,"Fate",-1,,
"Gravios Tasset","5800z","Gravios Shell",4,"Hercudrome",3,"Monster Bone+",2,"Ioprey Hide",3,40,2,2,-2,-2,0,"Male/Female","Blade",4,3,5,"O--","Sleep",4,"Guard",2,"Defence",1,"Stamina",-2,,
"Gravios Coat","5800z","Gravios Shell",4,"Hercudrome",3,"Monster Bone+",2,"Ioprey Hide",3,20,4,3,0,1,1,"Male/Female","Gunner",4,3,5,"O--","Sleep",3,"ClustS Add",4,"Stamina",-2,,,,
"Diablo Coil D","5800z","Black Blos Spine",2,"Black Blos Shell",2,"Monster Bone+",1,,,38,3,1,0,-1,-2,"Male/Female","Blade",4,3,5,"OO-","Sharpness",2,"Defence",-1,"WindPress",3,"Fate",-1,,
"Diablo Coat D","5800z","Black Blos Spine",2,"Black Blos Shell",2,"Monster Bone+",1,,,18,5,4,0,2,-1,"Male/Female","Gunner",4,3,5,"O--","Load",2,"Hunger",-1,"WindPress",3,"Fate",-3,,
"Gravios Tasset D","5800z","Blk Gravios Shl",4,"Hercudrome",3,"Monster Bone+",2,"Machalite Ore",4,38,2,2,0,-2,1,"Male/Female","Blade",4,3,5,"OO-","Guard Up",2,"Hunger",-2,"Defence",3,,,,
"Gravios Coat D","5800z","Blk Gravios Shl",4,"Hercudrome",3,"Monster Bone+",2,"Machalite Ore",4,18,4,3,0,1,2,"Male/Female","Gunner",4,3,5,"OO-","Guard Up",2,"Hunger",-2,"Defence",3,,,,
"Mosswine Hip","100z","Mosswine Hide",2,"Bullfango Pelt",1,"Bulldrome Hide",1,"Carpenterbug",1,3,0,0,0,0,0,"Male/Female","Blade/Gunner",5,1,2,"O--","Health",2,"Hunger",-3,"Gluttony",2,"Cooking",2,,
"Bistro Apron","1150z","FlynMealPassReg",1,"Cold Meat",10,"Flabby Hide",4,,,20,2,2,2,2,2,"Male/Female","Blade/Gunner",5,1,3,"---","Gluttony",4,"Cooking",2,"BBQ",5,,,,
"Black Belt Tasset","3300z","Daimyo Coin",10,"Blackbelt Ticket",8,"Killer Beetle",2,"Cephalos Coin",8,20,2,2,2,2,2,"Male/Female","Blade/Gunner",5,1,3,"O--","Artisan",2,"Gluttony",3,"Map",-2,"Loading",2,,
"Shinobi Belt (Sun)","9800z","Gaoren Spine",1,"Blackbelt Ticket",3,"Pokke Ticket",1,"Azr Rathlos Scl",5,20,2,4,2,-6,-3,"Male/Female","Blade/Gunner",5,3,6,"O--","Throw",2,"ElementAtk",2,"Cold Res",-2,"Evade",3,,
"Shinobi Belt (Moon)","9800z","Gaoren Spine",1,"Blackbelt Ticket",3,"Pokke Ticket",1,"Azr Rathlos Scl",5,20,2,4,2,-6,-3,"Male/Female","Blade/Gunner",5,3,6,"O--","Sneak",2,"Hunger",4,"Heat Res",-2,"PsychicVis",1,,
"Guild Knight Kilt","9800z","Commendation",1,"Great Hornfly",4,"FlynMealPassReg",1,"Plesioth Coin",3,20,0,0,0,0,0,"Male","Blade/Gunner",5,3,4,"O--","Whim",3,"Fate",2,"PsychicVis",2,"BBQ",-2,,
"Guild Knight Coat","9800z","Commendation",1,"Great Hornfly",4,"FlynMealPassReg",1,"Cephalos Coin",3,20,0,0,0,0,0,"Male","Blade/Gunner",5,3,4,"O--","PelletS Up",2,"Fate",-2,"Precision",2,"Carving",3,,
"Guardian Coil","9800z","Lightcrystal",2,"Great Hornfly",4,"Blackbelt Ticket",2,"Yian Garuga Coin",3,20,0,0,0,0,0,"Male","Blade/Gunner",5,8,4,"O--","Protection",2,"Gathering",-2,"Fate",2,"Gunnery",3,,
"Guardian Coat","9800z","Lightcrystal",2,"Great Hornfly",4,"Blackbelt Ticket",2,"Blangonga Coin",3,20,0,0,0,0,0,"Male","Blade/Gunner",5,2,4,"OO-","Protection",2,"Wide Area",3,"Gathering",-1,"Fate",1,,
"Maiden's Skirt","9800z","Commendation",1,"Great Hornfly",4,"FlynMealPassReg",1,"Plesioth Coin",3,20,0,0,0,0,0,"Female","Blade/Gunner",5,3,4,"O--","Whim",3,"Fate",2,"PsychicVis",2,"BBQ",-2,,
"Personal Frills","9800z","Commendation",1,"Great Hornfly",4,"FlynMealPassReg",1,"Cephalos Coin",3,20,0,0,0,0,0,"Female","Blade/Gunner",5,3,4,"O--","PelletS Up",2,"Fate",-2,"Precision",2,"Carving",3,,
"Helper Skirt","9800z","Lightcrystal",2,"Great Hornfly",4,"Blackbelt Ticket",2,"Yian Garuga Coin",3,20,0,0,0,0,0,"Female","Blade/Gunner",5,8,4,"O--","Protection",2,"Gathering",-2,"Fate",2,"Gunnery",3,,
"Healer Frills","9800z","Lightcrystal",2,"Great Hornfly",4,"Blackbelt Ticket",2,"Blangonga Coin",3,20,0,0,0,0,0,"Female","Blade/Gunner",5,2,4,"OO-","Protection",2,"Wide Area",3,"Gathering",-1,"Fate",1,,
"Remobra Belt","1650z","Remobra Skin",4,"Elder Drgn Bone",1,"Monster Fluid",3,"Dragonite Ore",2,24,0,-1,-1,-1,-1,"Male/Female","Blade/Gunner",5,3,4,"---","Torso Inc",,,,,,,,,
"Melahoa Skirt","1150z","Dosbiscus",3,"Godbug",4,"Sleep Herb",2,"Armorskin",3,20,0,1,0,1,0,"Male/Female","Blade",5,1,2,"O--","Hunger",-1,"Gathering",3,"HiSpdGathr",2,"Recovery",2,"Stamina",1
"Melahoa Trunk","1150z","Dosbiscus",3,"Godbug",4,"Sleep Herb",2,"Armorskin",3,10,0,1,0,2,0,"Male/Female","Gunner",5,1,2,"O--","Hunger",-1,"Gathering",3,"HiSpdGathr",2,"Recovery",2,"Stamina",1
"Makluva Coat","2350z","Springnight Carp",3,"Cephalos Scale",3,"Small Goldenfish",2,"Book of Combos 1",1,28,0,-2,0,2,0,"Male/Female","Blade",5,1,2,"O--","Spc Attack",2,"Fishing",2,"MixSucRate",3,"Alchemy",2,,
"Makluva Fin","2350z","Springnight Carp",3,"Cephalos Scale",3,"Small Goldenfish",2,"Book of Combos 1",1,16,0,-1,0,3,0,"Male/Female","Gunner",5,1,2,"O--","Spc Attack",2,"Fishing",2,"MixSucRate",3,"Alchemy",2,,
"Hypnoc Tasset","3350z","Hypnoc Ticket",1,"Hypnoc Feather+",3,"Rainbow Down",3,"Sharp Claw",2,32,-2,0,1,2,1,"Male/Female","Blade",5,"7!",10,"O--","Sleep",2,"Sneak",-2,"Trapper",4,"Observance",1,,
"Hypnoc Coat","3350z","Hypnoc Ticket",1,"Hypnoc Feather+",3,"Rainbow Down",3,"Sharp Claw",2,16,0,2,2,4,3,"Male/Female","Gunner",5,"7!",10,"O--","Sneak",-2,"SleepCtAdd",2,"Trapper",4,"Observance",1,,
"Obituary Anka","3350z","Great Hornfly",2,"Hercudrome",2,"Pale Extract",3,"Great Ladybug",3,32,3,3,2,-5,-4,"Male","Blade",5,1,3,"OO-","Spc Attack",2,"Cold Res",-1,"Gathering",2,"Evade",2,,
"Obituary Cocusa","3350z","Great Hornfly",2,"Hercudrome",2,"Pale Extract",3,"Great Ladybug",3,16,4,5,2,-4,-3,"Male","Gunner",5,1,3,"O--","Spc Attack",2,"Cold Res",-1,"Gathering",3,"Evade",3,,
"Butterfly Anka","3350z","Great Hornfly",2,"Hercudrome",2,"Pale Extract",3,"Great Ladybug",3,32,3,3,2,-5,-4,"Female","Blade",5,1,3,"OO-","Spc Attack",2,"Cold Res",-1,"Gathering",2,"Evade",2,,
"Butterfly Cocusa","3350z","Great Hornfly",2,"Hercudrome",2,"Pale Extract",3,"Great Ladybug",3,16,4,5,2,-4,-3,"Female","Gunner",5,1,3,"O--","Spc Attack",2,"Cold Res",-1,"Gathering",3,"Evade",3,,
"Black Spine","11111z","Dark Stone",1,"Dark Piece",3,"Ancient Potion",1,"FireWyvern Fluid",3,36,0,2,-5,2,2,"Male/Female","Blade",5,10,"5!","OOO",,,,,,,,,,
"Black Scale","11111z","Dark Stone",1,"Dark Piece",3,"Ancient Potion",1,"FireWyvern Fluid",3,18,2,4,-2,4,3,"Male/Female","Gunner",5,10,"5!","OOO",,,,,,,,,,
"Death Stench Bowels","5800z","Sinister Cloth",2,"Striped Skin",3,"Monster Bone+",2,"Elder Drgn Bone",1,40,2,1,0,1,-1,"Male/Female","Blade",5,3,4,"O--","Sneak",2,"Health",-5,"Fencing",2,,,,
"Death Stench Belly","5800z","Sinister Cloth",2,"Striped Skin",3,"Monster Bone+",2,"Elder Drgn Bone",1,20,3,2,1,2,0,"Male/Female","Gunner",5,3,4,"O--","Health",-5,"CragS Add",2,"Speed Fire",2,,,,
"Volganos Tasset","5800z","Lava Ticket",1,"Volganos Thk Scl",3,"Volganos Hvy Cpc",2,"Fire Stone",1,40,4,0,1,-3,0,"Male/Female","Blade",5,"7!",10,"O--","Faint",-2,"Rec Speed",2,"Guard",2,"Terrain",3,,
"Volganos Coat","5800z","Lava Ticket",1,"Volganos Thk Scl",3,"Volganos Hvy Cpc",2,"Fire Stone",1,20,5,2,2,-1,2,"Male/Female","Gunner",5,"7!",10,"O--","Faint",-2,"Guard",2,"Recoil",2,"Terrain",3,,
"Mizuha Sash","9000z","Chameleos Tail",1,"Chameleos Hide",2,"Elder Drgn Bone",4,"Lightcrystal",1,40,-4,0,-1,3,4,"Male/Female","Blade",5,3,5,"O--","HearProtct",2,"WindPress",4,"Terrain",-3,,,,
"Extravagant Coat","9000z","Chameleos Tail",1,"Chameleos Hide",2,"Elder Drgn Bone",4,"Lightcrystal",1,20,-3,1,0,4,5,"Male/Female","Gunner",5,3,5,"O--","HearProtct",2,"WindPress",4,"Terrain",-3,,,,
"Kushala Cocoon","9300z","Daora Webbing",1,"Daora Claw",2,"Daora Shell",2,"Fire Stone",1,42,0,-2,-3,2,4,"Male/Female","Blade",5,3,4,"O--","Poison",-2,"Fire Res",3,"Terrain",2,"Fast Chrge",2,,
"Kushala Wind Wrap","9300z","Daora Webbing",1,"Daora Claw",2,"Daora Shell",2,"Fire Stone",1,21,2,-2,-2,3,5,"Male/Female","Gunner",5,3,4,"O--","Poison",-2,"Fire Res",3,"Terrain",2,"Fast Chrge",2,,
"Kirin Hoop","9800z","Kirin Hide",1,"Kirin Horn",2,"Rubbery Hide",2,"Electro Sac",3,44,0,4,-1,2,0,"Male/Female","Blade",5,3,5,"O--","ElementAtk",2,"All Resist",3,"PsychicVis",2,"Everlastng",-2,,
"Kirin Shorts","9800z","Kirin Hide",1,"Kirin Horn",2,"Rubbery Hide",2,"Electro Sac",3,22,1,6,0,4,1,"Male/Female","Gunner",5,3,5,"O--","ElementAtk",2,"All Resist",3,"PsychicVis",2,"Everlastng",-2,,
"Guardian Spirit Coil","9800z","Dragonmoss",2,"Dragonwood",2,"ElderDragonBlood",1,"Pokke Ticket",1,44,2,0,-2,2,-2,"Male/Female","Blade",5,3,4,"O--","Fencing",2,"Protection",1,"All Resist",4,"Potential",-2,,
