"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
"Velociprey Greaves","1150z","Velocidrome Hide",1,"Velociprey Scale",3,"Velociprey Scale",1,,,20,1,1,-1,1,0,"Male/Female","Blade",2,"1","2","O--","Paralysis",-2,"Faint",3,"SwdShrpner",2,"MixSucRate",2,,
"Velociprey Leggings","1150z","Velocidrome Hide",1,"Velociprey Scale",3,"Velociprey Scale",1,,,10,3,3,0,3,1,"Male/Female","Gunner",2,"1","2","O--","Paralysis",-2,"Faint",3,"PelletSAdd",2,"Shot Mix",2,,
"Vespoid Greaves","1150z","Vespoid Wing",2,"Disk Stone",3,"Monster Fluid",1,,,20,-6,2,2,-5,-4,"Male/Female","Blade",3,"1","1","O--","Paralysis",2,"Poison",-1,"Backpackng",4,"Everlastng",2,,
"Vespoid Leggings","1150z","Vespoid Shell",2,"Disk Stone",3,"Monster Fluid",1,,,10,-5,5,2,-4,-3,"Male/Female","Gunner",3,"1","1","O--","Paralysis",2,"Poison",-1,"Backpackng",4,"Everlastng",2,,
"Hi-Metal Greaves","1150z","Machalite Ore",3,"Iron Ore",3,"Velociprey Hide",3,,,20,-2,3,0,-2,-1,"Male/Female","Blade",3,"1","1","O--","Health",3,"Whim",1,"Stamina",-2,"Gunnery",3,,
"Hi-Metal Leggings","1150z","Machalite Ore",3,"Iron Ore",3,"Velociprey Hide",3,,,10,0,5,0,0,0,"Male/Female","Gunner",3,"1","1","O--","Health",3,"CragS Add",1,"Stamina",-2,"Gunnery",3,,
"Hornet Greaves","1350z","Hornetaur Wing",3,"Hornetaur Shell",3,"Earth Crystal",4,"Killer Beetle",1,22,-6,-5,2,-1,-5,"Male/Female","Blade",3,"1","2","OO-","Protection",-2,"HearProtct",2,"Dragon Res",2,"Gathering",1,,
"Hornet Leggings","1350z","Hornetaur Wing",3,"Hornetaur Shell",3,"Earth Crystal",4,"Killer Beetle",1,11,-5,-3,3,2,-4,"Male/Female","Gunner",3,"1","2","O--","Protection",-2,"HearProtct",3,"Dragon Res",2,"Gathering",2,,
"Genprey Greaves","1350z","Gendrome Hide",1,"Genprey Scale",4,"Iron Ore",3,"Disk Stone",2,22,2,3,-1,-2,-2,"Male/Female","Blade",3,"1","2","---","Torso Inc",,,,,,,,,
"Genprey Leggings","1350z","Gendrome Hide",1,"Genprey Scale",4,"Iron Ore",3,"Disk Stone",2,11,4,5,0,0,0,"Male/Female","Gunner",3,"1","2","---","Torso Inc",,,,,,,,,
"Chrome Metal Boots","3630z",,,,,,,,,24,2,0,0,-2,0,"Male/Female","Blade/Gunner",3,"10","6","---","Torso Inc",,,,,,,,,
"Ioprey Greaves","1650z","Ioprey Hide",2,"Ioprey Scale",3,"Earth Crystal",3,"Iron Ore",3,24,3,-2,-1,2,1,"Male/Female","Blade",3,"1","3","O--","Faint",-1,"Poison",3,"Health",4,"Fatigue",1,,
"Ioprey Leggings","1650z","Ioprey Hide",2,"Ioprey Scale",3,"Earth Crystal",3,"Iron Ore",3,12,4,0,0,3,2,"Male/Female","Gunner",3,"1","3","O--","Faint",-1,"Poison",3,"PelletSAdd",4,"Fatigue",1,,
"Kut-Ku Greaves","1650z","Kut-Ku Ear",2,"Kut-Ku Shell",2,"Kut-Ku Webbing",2,"Giaprey Hide",2,24,2,0,-1,-2,-2,"Male/Female","Blade",3,"1","2","O--","Health",2,"Attack",3,"Defence",-1,"Fire Res",2,"Water Res",-1
"Kut-Ku Leggings","1650z","Kut-Ku Ear",2,"Kut-Ku Shell",2,"Kut-Ku Webbing",2,"Giaprey Hide",2,12,5,3,0,1,-1,"Male/Female","Gunner",3,"1","2","O--","Health",2,"Attack",3,"Defence",-1,"Fire Res",2,"Water Res",-1
"Cephalos Greaves","2350z","Cephalos Scale",4,"Piscine Fang",3,"Iron Ore",4,"Carpenterbug",3,28,-3,-4,0,2,2,"Male/Female","Blade",3,"1","2","OO-","Hunger",1,"Heat Res",4,"Cold Res",-2,,,,
"Cephalos Leggings","2350z","Cephalos Scale",4,"Piscine Fang",3,"Iron Ore",4,"Carpenterbug",3,16,-1,-2,1,5,3,"Male/Female","Gunner",3,"1","2","O--","Hunger",3,"Heat Res",4,"Cold Res",-2,,,,
"Conga Greaves","2350z","Conga Pelt",4,"Bulldrome Hide",2,"Giant Bone",1,"Machalite Ore",2,28,-3,2,0,2,-1,"Male/Female","Blade",3,"1","2","O--","Antiseptic",2,"BombStrUp",2,"Hunger",-2,"Gluttony",3,,
"Conga Leggings","2350z","Conga Pelt",4,"Bulldrome Hide",2,"Giant Bone",1,"Machalite Ore",2,16,-1,4,1,4,0,"Male/Female","Gunner",3,"1","2","O--","Antiseptic",2,"NormalS Up",2,"Hunger",-2,"Gluttony",3,,
"Gypceros Greaves","2850z","Dragonite Ore",2,"Antiseptic Stone",2,"Genprey Hide",3,"Rubbery Hide",3,30,-4,4,0,1,1,"Male/Female","Blade",3,"1","3","O--","Poison",3,"Hunger",-2,"ThunderRes",2,"Stamina",2,,
"Gypceros Leggings","2850z","Dragonite Ore",2,"Antiseptic Stone",2,"Genprey Hide",3,"Rubbery Hide",3,16,-1,6,0,4,3,"Male/Female","Gunner",3,"1","3","O--","Poison",3,"Hunger",-2,"ThunderRes",2,"Stamina",2,,
"Khezu Greaves","3350z","Flabby Hide",2,"Machalite Ore",2,"Bullfango Pelt",3,,,32,-3,4,0,3,1,"Male/Female","Blade",3,"1","3","O--","Faint",-2,"Rec Speed",3,"Wide Area",2,"Horn",2,,
"Khezu Leggings","3350z","Flabby Hide",2,"Machalite Ore",2,"Bullfango Pelt",3,,,16,-1,6,0,5,2,"Male/Female","Gunner",3,"1","3","O--","Faint",-2,"Rec Speed",3,"Wide Area",2,"Shot Mix",2,,
"Hermitaur Greaves","3350z","Hermitaur Claw",1,"Sm Hermitaur Shl",4,"Bulldrome Hide",2,"Machalite Ore",2,32,-3,-4,1,3,0,"Male/Female","Blade",3,"1","3","O--","Guard",1,"Throw",2,"Defence",3,"ThunderRes",-3,,
"Hermitaur Leggings","3350z","Hermitaur Claw",1,"Sm Hermitaur Shl",4,"Bulldrome Hide",2,"Machalite Ore",2,16,-1,-2,2,5,1,"Male/Female","Gunner",3,"1","3","O--","Guard Up",1,"Throw",2,"Defence",3,"ThunderRes",-3,,
"Plesioth Greaves","4150z","Plesioth Fin",1,"Machalite Ore",2,"Cephalos Scale",3,"Plesioth Scale",3,34,-4,-4,0,4,2,"Male/Female","Blade",3,"1","3","O--","Paralysis",-2,"Heat Res",2,"Cold Res",2,"Stamina",3,,
"Plesioth Leggings","4150z","Plesioth Fin",1,"Machalite Ore",2,"Cephalos Scale",3,"Plesioth Scale",3,17,-2,-2,1,6,3,"Male/Female","Gunner",3,"1","3","O--","Paralysis",-2,"Heat Res",2,"Cold Res",2,"Stamina",3,,
"Lobster Greaves","4150z","Sm Lobstershell",1,"Plesioth Fin",1,"Carpenterbug",3,"Disk Stone",6,34,-2,-6,-2,6,2,"Male/Female","Blade",3,"1","3","O--","Guard",-2,"Water Res",1,"Fishing",3,"Evade",3,,
"Lobster Leggings","4150z","Sm Lobstershell",1,"Plesioth Fin",1,"Carpenterbug",3,"Disk Stone",6,17,0,-5,0,5,3,"Male/Female","Gunner",3,"1","3","O--","Water Res",1,"Fishing",3,"Evade",3,"Precision",-2,,
"Kut-Ku Greaves D","1650z","Kut-Ku Ear",2,"Blue Kut-Ku Shl",2,"Kut-Ku Webbing",2,"Giaprey Hide",2,22,2,0,-1,-2,-2,"Male/Female","Blade",3,"1","3","OO-","Health",-1,"Rec Speed",-1,"Expert",2,"ElementAtk",1,"Attack",2
"Kut-Ku Leggings D","1650z","Kut-Ku Ear",2,"Blue Kut-Ku Shl",2,"Kut-Ku Webbing",2,"Giaprey Hide",2,10,5,3,0,1,-1,"Male/Female","Gunner",3,"1","3","OO-","Health",-1,"Rec Speed",-1,"Expert",2,"ElementAtk",1,"Attack",2
"Gypceros Greaves D","2850z","Pur Rubbery Hide",3,"Antiseptic Stone",2,"Genprey Hide",3,"Hercudrome",2,28,-4,4,0,1,1,"Male/Female","Blade",3,"2","3","OO-","Faint",3,"Wide Area",2,"WindPress",1,"Fate",-1,,
"Gypceros Leggings D","2850z","Pur Rubbery Hide",3,"Antiseptic Stone",2,"Genprey Hide",3,"Hercudrome",2,14,-1,6,0,4,3,"Male/Female","Gunner",3,"2","3","OO-","Faint",3,"Wide Area",2,"WindPress",1,"Fate",-1,,
"Khezu Greaves D","3350z","Alluring Hide",2,"Machalite Ore",2,"Bullfango Pelt",3,,,30,3,4,0,-3,0,"Male/Female","Blade",3,"2","4","OO-","SwdShrpner",-2,"Wide Area",3,"Recovery",2,,,,
"Khezu Leggings D","3350z","Alluring Hide",2,"Machalite Ore",2,"Bullfango Pelt",3,,,14,5,6,0,-1,1,"Male/Female","Gunner",3,"2","4","OO-","Wide Area",3,"Recovery",2,"MixSucRate",-2,,,,
"Plesioth Greaves D","4150z","Grn Plesioth Scl",3,"Monster Fluid",1,"Earth Crystal",4,"Grn Plesioth Fin",1,32,-4,-4,0,4,2,"Male/Female","Blade",3,"2","3","OO-","Poison",-2,"Hunger",2,"Fishing",1,"Everlastng",2,,
"Plesioth Leggings D","4150z","Grn Plesioth Scl",3,"Monster Fluid",1,"Earth Crystal",4,"Grn Plesioth Fin",1,15,-2,-2,1,6,3,"Male/Female","Gunner",3,"2","3","OO-","Poison",-2,"Hunger",2,"Fishing",1,"Everlastng",2,,
"Basarios Greaves","3350z","Basarios Shell",3,"Machalite Ore",5,"Poison Sac",3,"Genprey Hide",5,32,0,2,-2,2,1,"Male/Female","Blade",4,"2","4","OO-","Sleep",2,"Faint",-1,"Defence",1,"Whim",1,"Terrain",2
"Basarios Leggings","3350z","Basarios Shell",3,"Machalite Ore",5,"Poison Sac",3,"Genprey Hide",5,16,2,4,0,4,2,"Male/Female","Gunner",4,"2","4","O--","Sleep",2,"Faint",-1,"Defence",2,"Whim",2,"Terrain",2
"Monoblos Greaves","3350z","Monoblos Spine",2,"Blood Red Horn",1,"Monoblos Shell",3,"Machalite Ore",4,36,2,-2,-1,-1,-1,"Male/Female","Blade",4,"10","4!","O--","Health",3,"Attack",2,"Protection",-2,"Potential",2,,
"Monoblos Leggings","4900z","Monoblos Spine",2,"Blood Red Horn",1,"Monoblos Shell",3,"Machalite Ore",4,18,4,0,0,2,0,"Male/Female","Gunner",4,"10","4!","O--","Health",3,"Attack",2,"Protection",-2,"Potential",2,,
"Garuga Greaves","4900z","Garuga Scale",5,"Garuga Shell",4,"Carpenterbug",4,"Gendrome Hide",2,36,2,2,0,0,0,"Male/Female","Blade",4,"10","4!","O--","Sharpness",2,"Expert",2,"HearProtct",2,"Gathering",-2,,
"Garuga Leggings","4900z","Garuga Scale",5,"Garuga Shell",4,"Carpenterbug",4,"Gendrome Hide",2,18,3,3,0,2,1,"Male/Female","Gunner",4,"10","4!","O--","Expert",2,"PierceSAdd",3,"HearProtct",2,"Gathering",-2,,
"Blango Greaves","4900z","Blangonga Whiskr",1,"Sharp Claw",5,"Brute Bone",4,"Anteka Pelt",2,36,-4,0,1,2,3,"Male/Female","Blade",4,"2","4","OO-","Snow Res",2,"Cold Res",1,"Terrain",-2,"Quake Res",2,,
"Blango Leggings","4900z","Blangonga Whiskr",1,"Sharp Claw",5,"Brute Bone",4,"Anteka Pelt",2,18,-3,1,2,4,5,"Male/Female","Gunner",4,"2","4","O--","Snow Res",2,"Cold Res",3,"Terrain",-2,"Quake Res",2,,
"Ceanataur Greaves","5200z","Ceanataur Leg",2,"Ceanataur Shell",3,"Machalite Ore",3,"Killer Beetle",1,37,1,-1,0,2,-1,"Male/Female","Blade",4,"1","4","OO-","Sharpness",2,"Artisan",1,"SwdShrpner",2,"Defence",-2,,
"Ceanataur Leggings","5200z","Ceanataur Leg",2,"Ceanataur Shell",3,"Machalite Ore",3,"Killer Beetle",1,18,2,0,2,4,0,"Male/Female","Gunner",4,"1","4","O--","PierceS Up",3,"PierceSAdd",1,"Defence",-3,"Precision",2,,
"Rathian Greaves","5350z","Monster Bone+",1,"Rathian Shell",3,"Rathian Scale",2,"Machalite Ore",2,38,2,-2,-4,0,0,"Male/Female","Blade",4,"1","6","OO-","Faint",-1,"Poison",2,"Health",3,"PsychicVis",1,,
"Rathian Leggings","5350z","Monster Bone+",1,"Rathian Shell",3,"Rathian Scale",2,"Machalite Ore",2,18,4,0,-2,2,2,"Male/Female","Gunner",4,"1","6","O--","Faint",-1,"Poison",2,"Health",3,"PsychicVis",3,,
"Tigrex Greaves","5800z","Tigrex Scale",3,"Tigrex Fang",3,"Tigrex Shell",2,"Dragonite Ore",2,40,3,-2,-1,2,3,"Male/Female","Blade",4,"3","5","O--","Protection",-2,"HearProtct",2,"PsychicVis",3,"Cooking",2,,
"Tigrex Leggings","5800z","Tigrex Scale",3,"Tigrex Fang",3,"Tigrex Shell",2,"Dragonite Ore",2,20,4,-1,0,3,4,"Male/Female","Gunner",4,"3","5","O--","Protection",-2,"HearProtct",2,"PsychicVis",3,"Cooking",2,,
"Rathalos Greaves","5800z","Rathalos Shell",3,"Rathalos Scale",2,"FireWyvern Claw",2,"Machalite Ore",2,40,2,2,-4,-1,-3,"Male/Female","Blade",4,"1","6","O--","Paralysis",-2,"Rec Speed",1,"Attack",4,"PsychicVis",2,,
"Rathalos Leggings","5800z","Rathalos Shell",3,"Rathalos Scale",2,"FireWyvern Claw",2,"Machalite Ore",2,20,4,5,-2,0,-1,"Male/Female","Gunner",4,"1","6","O--","Paralysis",-2,"Rec Speed",1,"Attack",4,"PsychicVis",2,,
"Diablo Greaves","5800z","Diablos Shell",3,"Diablos Spine",2,"Machalite Ore",4,"Dragonite Ore",3,40,3,1,0,-1,-2,"Male/Female","Blade",4,"3","5","O--","Health",-2,"Expert",4,"WindPress",2,"Fate",-1,,
"Diablo Leggings","5800z","Diablos Shell",3,"Diablos Spine",2,"Machalite Ore",4,"Dragonite Ore",3,20,5,4,0,2,-1,"Male/Female","Gunner",4,"3","5","O--","Health",-2,"Expert",4,"WindPress",2,"Fate",-1,,
"Gravios Greaves","5800z","Gravios Shell",5,"Flame Sac",3,"Monster Bone+",2,"Iodrome Hide",2,40,2,2,-2,-2,0,"Male/Female","Blade",4,"3","5","OO-","Sleep",2,"Guard",2,"Defence",1,"Stamina",-2,,
"Gravios Leggings","5800z","Gravios Shell",5,"Flame Sac",3,"Monster Bone+",2,"Iodrome Hide",2,20,4,3,0,1,1,"Male/Female","Gunner",4,"3","5","OO-","Sleep",3,"ClustS Add",2,"Stamina",-2,,,,
"Diablo Greaves D","5800z","Black Blos Shell",3,"Black Blos Spine",2,"Machalite Ore",4,"Dragonite Ore",3,38,3,1,0,-1,-2,"Male/Female","Blade",4,"3","5","OO-","Sharpness",2,"Defence",-1,"WindPress",3,"Fate",-1,,
"Diablo Leggings D","5800z","Black Blos Shell",3,"Black Blos Spine",2,"Machalite Ore",4,"Dragonite Ore",3,18,5,4,0,2,-1,"Male/Female","Gunner",4,"3","5","OO-","Load",2,"Hunger",-1,"WindPress",3,"Fate",-1,,
"Gravios Greaves D","5800z","Blk Gravios Shl",5,"Flame Sac",3,"Monster Bone+",2,"Rubbery Hide",2,38,2,2,0,-2,1,"Male/Female","Blade",4,"3","5","OO-","Guard Up",2,"Hunger",-2,"Defence",3,,,,
"Gravios Leggings D","5800z","Blk Gravios Shl",5,"Flame Sac",3,"Monster Bone+",2,"Rubbery Hide",2,18,4,3,0,1,2,"Male/Female","Gunner",4,"3","5","OO-","Guard Up",2,"Hunger",-2,"Defence",3,,,,
"Mosswine Feet","100z","Mosswine Hide",2,"Bullfango Pelt",1,"Bulldrome Hide",1,"Carpenterbug",1,3,0,0,0,0,0,"Male/Female","Blade/Gunner",5,"1","2","O--","Health",2,"Hunger",-3,"Gluttony",2,"Cooking",2,,
"Giaprey Feet","700z","Giadrome Hide",2,"Giadrome Claw",2,"Giaprey Scale",3,"Kut-Ku Coin",1,16,0,2,-2,2,3,"Male/Female","Blade/Gunner",5,"1","2","OO-","Fire Res",-2,"Ice Res",2,"Fate",3,,,,
"Velociprey Feet","900z","Velocidrome Hide",2,"Velocidrome Claw",2,"Velociprey Scale",3,"Congalala Coin",1,18,1,1,1,1,1,"Male/Female","Blade/Gunner",5,"1","2","OO-","Water Res",2,"ThunderRes",-2,"Fate",3,,,,
"Famitsu Cloth Wrap","1150z","Famitsu Ticket",5,"Commendation",1,"ShakalakaTreasre",2,"Blackbelt Ticket",6,20,2,2,2,2,2,"Male","Blade/Gunner",5,"6","5","---","Sleep",6,"Protection",5,,,,,,
"Famitsu Pants","1150z","Famitsu Ticket",5,"Commendation",1,"ShakalakaTreasre",2,"Blackbelt Ticket",6,20,2,2,2,2,2,"Female","Blade/Gunner",5,"6","5","---","Sleep",6,"Protection",5,,,,,,
"Genprey Feet","1150z","Gendrome Hide",2,"Genprey Fang",4,"Genprey Scale",3,"Khezu Coin",1,20,1,2,1,1,1,"Male/Female","Blade/Gunner",5,"1","3","OO-","Ice Res",-2,"ThunderRes",2,"Fate",3,,,,
"Black Belt Greaves","3300z","Khezu Coin",8,"Blackbelt Ticket",8,"Killer Beetle",2,"Congalala Coin",10,20,2,2,2,2,2,"Male/Female","Blade/Gunner",5,"1","3","OO-","Artisan",2,"Gluttony",1,"Map",-2,"Loading",2,,
"Shinobi Boots (Sun)","9800z","Gaoren Spine",1,"Blackbelt Ticket",3,"Pokke Ticket",1,"Pnk Rathian Scl",5,20,2,4,2,-6,-3,"Male/Female","Blade/Gunner",5,"3","6","O--","Throw",2,"ElementAtk",2,"Cold Res",-2,"Evade",3,,
"Shinobi Boots (Moon)","9800z","Gaoren Spine",1,"Blackbelt Ticket",3,"Pokke Ticket",1,"Pnk Rathian Scl",5,20,2,4,2,-6,-3,"Male/Female","Blade/Gunner",5,"3","6","OO-","Sneak",2,"Hunger",2,"Heat Res",-2,"PsychicVis",1,,
"Guild Knight Boots","9800z","Commendation",1,"Great Ladybug",4,"FlynMealPassReg",1,"Kut-Ku Coin",3,20,0,0,0,0,0,"Male","Blade/Gunner",5,"3","4","O--","Whim",3,"Fate",2,"PsychicVis",2,"BBQ",-2,,
"Guild Knight Tights","9800z","Commendation",1,"Great Ladybug",4,"FlynMealPassReg",1,"Congalala Coin",3,20,0,0,0,0,0,"Male","Blade/Gunner",5,"3","4","O--","PelletS Up",2,"Fate",-2,"Precision",2,"Carving",3,,
"Guardian Boots","9800z","Lightcrystal",2,"Great Ladybug",4,"Blackbelt Ticket",2,"Gravios Coin",3,20,0,0,0,0,0,"Male","Blade/Gunner",5,"3","5","OO-","Protection",2,"Gathering",-1,"Fate",1,"Gunnery",3,,
"Guardian Pants","9800z","Lightcrystal",2,"Great Ladybug",4,"Blackbelt Ticket",2,"Tigrex Coin",3,20,0,0,0,0,0,"Male","Blade/Gunner",5,"3","5","O--","Protection",2,"Wide Area",3,"Gathering",-2,"Fate",2,,
"Maiden's Stockings","9800z","Commendation",1,"Great Ladybug",4,"FlynMealPassReg",1,"Kut-Ku Coin",3,20,0,0,0,0,0,"Female","Blade/Gunner",5,"3","4","O--","Whim",3,"Fate",2,"PsychicVis",2,"BBQ",-2,,
"Personal Tights","9800z","Commendation",1,"Great Ladybug",4,"FlynMealPassReg",1,"Congalala Coin",3,20,0,0,0,0,0,"Female","Blade/Gunner",5,"3","4","O--","PelletS Up",2,"Fate",-2,"Precision",2,"Carving",3,,
"Helper Socks","9800z","Lightcrystal",2,"Great Ladybug",4,"Blackbelt Ticket",2,"Gravios Coin",3,20,0,0,0,0,0,"Female","Blade/Gunner",5,"3","5","OO-","Protection",2,"Gathering",-1,"Fate",1,"Gunnery",3,,
"Healer Socks","9800z","Lightcrystal",2,"Great Ladybug",4,"Blackbelt Ticket",2,"Tigrex Coin",3,20,0,0,0,0,0,"Female","Blade/Gunner",5,"3","5","O--","Protection",2,"Wide Area",3,"Gathering",-2,"Fate",2,,
"Ioprey Feet","1350z","Iodrome Hide",2,"Ioprey Fang",4,"Ioprey Scale",3,"Daimyo Coin",1,22,2,1,1,1,1,"Male/Female","Blade/Gunner",5,"1","3","OO-","Fire Res",2,"Water Res",-2,"Fate",3,,,,
"Remobra Feet","1650z","Striped Skin",5,"FireWyvern Fluid",2,"Killer Beetle",2,"Machalite Ore",3,24,0,-1,-1,-1,-1,"Male/Female","Blade/Gunner",5,"1","2","---","Poison",2,"Artisan",2,"PierceS Up",2,"All Resist",-2,"Stamina",3
"Melahoa Roots","1150z","Dosbiscus",2,"Carpenterbug",3,"Antidote Herb",3,"Immunizer",2,20,0,1,0,1,0,"Male/Female","Blade",5,"1","1","O--","Hunger",-1,"Gathering",3,"HiSpdGathr",2,"Recovery",2,"Stamina",1
"Melahoa Taproot","1150z","Dosbiscus",2,"Carpenterbug",3,"Antidote Herb",3,"Immunizer",2,10,0,1,0,2,0,"Male/Female","Gunner",5,"1","1","O--","Hunger",-1,"Gathering",3,"HiSpdGathr",2,"Recovery",2,"Stamina",1
"Makluva Pants","2350z","Cephalos Fin",3,"Springnight Carp",2,"Glutton Tuna",2,"Book of Combos 1",1,28,0,-2,0,2,0,"Male/Female","Blade",5,"1","2","O--","Spc Attack",2,"Fishing",2,"MixSucRate",3,"Alchemy",2,,
"Makluva Leggings","2350z","Cephalos Fin",3,"Springnight Carp",2,"Glutton Tuna",2,"Book of Combos 1",1,16,0,-1,0,3,0,"Male/Female","Gunner",5,"1","2","O--","Spc Attack",2,"Fishing",2,"MixSucRate",3,"Alchemy",2,,
"Hypnoc Greaves","3350z","Hypnoc Ticket",1,"Hypnoc Feather+",3,"Hypnoc StrngClaw",2,"Bullfango Pelt",4,32,-2,0,1,2,1,"Male/Female","Blade",5,"7!","10","O--","Sleep",2,"Sneak",-2,"Trapper",3,"Observance",2,,
"Hypnoc Leggings","3350z","Hypnoc Ticket",1,"Hypnoc Feather+",3,"Hypnoc StrngClaw",2,"Bullfango Pelt",4,16,0,2,2,4,3,"Male/Female","Gunner",5,"7!","10","O--","Sneak",-2,"SleepCtAdd",2,"Trapper",3,"Observance",2,,
"Obituary Gamba","3350z","Great Hornfly",1,"Hercudrome",1,"Monster Fluid",3,"FireWyvern Fluid",4,32,3,3,2,-5,-4,"Male","Blade",2,"1","6","O--","Spc Attack",2,"Backpackng",2,"Cold Res",-2,"Evade",3,,
"Obituary Femur","3350z","Great Hornfly",1,"Hercudrome",1,"Monster Fluid",3,"FireWyvern Fluid",4,16,4,5,2,-4,-3,"Male","Gunner",2,"1","6","O--","Spc Attack",2,"Backpackng",2,"Cold Res",-2,"Evade",3,,
"Butterfly Gamba","3350z","Great Hornfly",1,"Hercudrome",1,"Monster Fluid",3,"FireWyvern Fluid",4,32,3,3,2,-5,-4,"Female","Blade",2,"1","6","O--","Spc Attack",2,"Backpackng",2,"Cold Res",-2,"Evade",3,,
"Butterfly Femur","3350z","Great Hornfly",1,"Hercudrome",1,"Monster Fluid",3,"FireWyvern Fluid",4,16,4,5,2,-4,-3,"Female","Gunner",2,"1","6","O--","Spc Attack",2,"Backpackng",2,"Cold Res",-2,"Evade",3,,
"Black Feet","11111z","Dark Stone",1,"Dark Piece",2,"Ancient Potion",1,"Black Pearl",1,36,0,2,-5,2,2,"Male/Female","Blade",5,10,"5!","OO-",,,,,,,,,,
"Black Legs","11111z","Dark Stone",1,"Dark Piece",2,"Ancient Potion",1,"Black Pearl",1,18,2,4,-2,4,3,"Male/Female","Gunner",5,10,"5!","OO-",,,,,,,,,,
"Death Stench Heel","5800z","Sinister Cloth",2,"Striped Skin",3,"Lg Monster Bone",4,"Elder Drgn Bone",2,40,2,1,0,1,-1,"Male/Female","Blade",5,"3","4","O--","Sneak",2,"Health",-5,"Fencing",2,,,,
"Death Stench March","5800z","Sinister Cloth",2,"Striped Skin",3,"Lg Monster Bone",4,"Elder Drgn Bone",2,20,3,2,1,2,0,"Male/Female","Gunner",5,"3","4","O--","Health",-5,"CragS Add",2,"Speed Fire",2,,,,
